,displayName,sat-avg,city,state,lat,long
0,Princeton University,1400.0,Princeton,NJ,40.3563,-74.6693
1,Harvard University,1430.0,Cambridge,MA,42.3759,-71.1185
3,Yale University,1420.0,New Haven,CT,41.3112,-72.9246
4,Columbia University,1430.0,New York,NY,40.6943,-73.9249
5,Massachusetts Institute of Technology,1460.0,Cambridge,MA,42.3759,-71.1185
7,University of Pennsylvania,1380.0,Philadelphia,PA,40.0077,-75.1339
9,California Institute of Technology,1510.0,Pasadena,CA,34.1597,-118.139
10,Dartmouth College,1350.0,Hanover,NH,43.7022,72.2896
13,Brown University,1370.0,Providence,RI,41.823,-71.4187
14,Cornell University,1330.0,Ithaca,NY,42.4442,-76.5032
21,University of California-Berkeley,1300.0,Berkeley,CA,37.8723,-122.276
24,Carnegie Mellon University,1380.0,Pittsburgh,PA,40.4396,-79.9762
25,University of Virginia,1240.0,Charlottesville,VA,38.0375,-78.4855
34,Georgia Institute of Technology,1320.0,Atlanta,GA,33.7627,-84.4224
38,University of California-Santa Barbara,1140.0,Santa Barbara,CA,34.4285,-119.7202
41,Rensselaer Polytechnic Institute,1280.0,Troy,NY,42.7354,-73.6751
42,University of California-Irvine,1060.0,Irvine,CA,33.6772,-117.7738
43,University of California-San Diego,1140.0,La Jolla,CA,32.8328,117.2713
44,University of Florida,1180.0,Gainesville,FL,29.6804,-82.3458
47,University of California-Davis,1050.0,Davis,CA,38.5552,-121.7365
54,University of Georgia,1140.0,Athens,GA,33.9508,-83.3689
57,University of Connecticut,1130.0,Storrs,CT,41.8045,-72.2552
59,University of Washington,1120.0,Seattle,WA,47.6211,-122.3244
64,University of Maryland-College Park,1210.0,College Park,MD,38.996,-76.9337
65,Worcester Polytechnic Institute,1200.0,Worcester,MA,42.2705,-71.8079
66,Clemson University,1150.0,Clemson,SC,34.6837,-82.8124
70,Stevens Institute of Technology,1260.0,Hoboken,NJ,40.7453,-74.0279
75,Colorado School of Mines,1250.0,Golden,CO,39.7406,-105.2118
79,University of Iowa,1020.0,Iowa City,IA,41.6559,-91.5303
81,Florida State University,1110.0,Tallahassee,FL,30.4551,-84.2526
82,Michigan State University,990.0,East Lansing,MI,42.748,-84.4835
84,University of California-Santa Cruz,1060.0,Santa Cruz,CA,36.9789,-122.0346
85,University of Delaware,1090.0,Newark,DE,39.6776,-75.7573
89,Indiana University-Bloomington,1060.0,Bloomington,IN,39.1637,-86.5257
96,Rochester Institute of Technology,1140.0,Rochester,NY,43.168,-77.6162
