School Name,Region,Starting Median Salary,Mid-Career Median Salary,School Type,Average SAT Score,City,State,Latitude,Longitude
California Institute of Technology,California,75500.0,123000.0,Engineering,1510.0,Pasadena,CA,34.1597,-118.139
University of California-Berkeley,California,59900.0,112000.0,State,1300.0,Berkeley,CA,37.3723,-122.27600000000001
University of California-San Diego,California,51100.0,101000.0,State,1140.0,La Jolla,CA,32.8328,117.2713
University of California-Davis,California,52300.0,99600.0,State,1050.0,Davis,CA,38.5552,-121.7365
University of California-Irvine,California,48300.0,96700.0,State,1060.0,Irvine,CA,33.6772,-117.7738
University of California-Santa Barbara,California,50500.0,95000.0,Party,1140.0,Santa Barbara,CA,34.4285,-119.7202
California State University-Fullerton,California,45700.0,87000.0,State,920.0,Fullerton,CA,33.8841,-117.9279
San Francisco State University,California,47300.0,86400.0,State,860.0,San Francisco,CA,37.7562,-122.443
San Diego State University,California,46200.0,85200.0,State,1000.0,San Diego,CA,32.8312,-117.1225
University of California-Santa Cruz,California,44700.0,84100.0,State,1060.0,Santa Cruz,CA,36.9789,-122.0346
University of California-Riverside,California,46800.0,81300.0,State,940.0,Riverside,CA,33.9381,-117.3948
Colorado School of Mines,Western,58100.0,106000.0,Engineering,1250.0,Golden,CO,39.7406,-105.2118
University of Arizona,Western,47500.0,86100.0,State,970.0,Tucson,AZ,32.1545,-110.8782
University of Washington,Western,48800.0,85300.0,State,1120.0,Seattle,WA,47.6211,-122.3244
Washington State University,Western,45300.0,84700.0,State,930.0,Pullman,WA,46.733999999999995,-117.1669
Oregon State University,Western,45100.0,83300.0,State,990.0,Corvallis,OR,44.5697,-123.27799999999999
University of Utah,Western,45400.0,83200.0,State,1050.0,Salt Lake City,UT,40.7777,-111.9306
University of Nevada-Reno,Western,46500.0,82900.0,State,970.0,Reno,NV,39.5497,-119.8483
University of Idaho,Western,44900.0,82000.0,State,930.0,Moscow,ID,46.7307,-116.9986
University of New Mexico,Western,41600.0,81600.0,State,950.0,Albuquerque,NM,35.1053,-106.6464
New Mexico State University,Western,44300.0,79500.0,State,820.0,Las Cruces,NM,32.3265,-106.7892
Colorado State University,Western,44800.0,79000.0,State,1020.0,Fort Collins,CO,40.5478,-105.0656
University of Wyoming,Western,44500.0,78700.0,State,960.0,Laramie,WY,41.3099,-105.6085
Utah State University,Western,43800.0,78700.0,State,980.0,Logan,UT,41.74,-111.8419
University of Oregon,Western,42200.0,78400.0,State,980.0,Eugene,OR,44.0563,-123.1173
Idaho State University,Western,44900.0,73400.0,State,,Pocatello,ID,42.8724,-112.4646
University of Montana,Western,37300.0,71900.0,State,950.0,Missoula,MT,46.875,-114.0214
University of Nevada-Las Vegas,Western,45200.0,71600.0,State,900.0,Las Vegas,NV,36.2333,-115.2654
Portland State University,Western,42600.0,70900.0,State,930.0,Portland,OR,45.5372,-122.65
Boise State University,Western,40800.0,69500.0,State,910.0,Boise,ID,43.6007,-116.2312
Illinois Institute of Technology,Midwestern,56000.0,97800.0,Engineering,1130.0,Chicago,IL,41.8373,-87.6862
Michigan State University,Midwestern,46300.0,85300.0,State,990.0,East Lansing,MI,42.748000000000005,-84.4835
Iowa State University,Midwestern,45400.0,84600.0,State,980.0,Ames,IA,42.0259,-93.6215
